Cregganroe, Kilsallagh, Westport, Co. Mayo	€425,000
Sligo Road, Quignalecka, Ballina, Co. Mayo	Region €315,000
16 Orchard Court, Elm Park, Claremorris, Co. Mayo	€200,000
10 Lakeshore Drive, Castlebar, Co. Mayo	€290,000
25 Carrabeag, Newport Road, Castlebar, Co. Mayo	Region €235,000
4 Summerfield, Castlebar, Co. Mayo	Region €285,000
Ballynew, Ballinrobe, Co. Mayo	€175,000
Mystical Rose, Churchfield, Knock, Co. Mayo	€250,000
8 Meadow Park, Castlebar, Co. Mayo	€210,000
Tangled Briars, Coolcran, Knoxbarrett, Ballina, Co. Mayo	Region €185,000
3 Abbey Street, Ballyhaunis, Co. Mayo	€145,000
1 Pound Lane, Swinford, Co. Mayo	Region €139,000
Westview, 1 Viewpoint, Pound Road, Castlebar, Co. Mayo	Region €199,500
15 Rossmór, Pontoon Road, Castlebar, Co. Mayo	€305,000
11 Sion Hill, Castlebar, Co. Mayo	Region €320,000
Apartment 21 The Beech, Spencer Manor, Castlebar, Co. Mayo	AMV €160,000  (Auction)
Westport Road, Castlebar, Co. Mayo	€395,000
Brackloonagh South, Charlestown, Co. Mayo	Region €230,000
House And Apartment, Prospect, Westport, Co. Mayo	Region €495,000
Ballynew, Castlebar, Co. Mayo	€299,500
